"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV39760 - Image
11/22/2020 22:18:48
http://10.37.248.147/dr/202011/20201122/4___07W/0074___07WW2020112222184800SV_02.jpg
 07W - CBB
OPEN
$37.50
$25.00
$0.00
$62.50","
 HV17323 - Image
11/22/2020 19:08:47
http://10.37.248.147/dr/202011/20201122/4___07W/0074___07WW2020112219084700SV_02.jpg
 07W - CBB
OPEN
$37.50
$25.00
$0.00
$62.50"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV42838 - Image
11/22/2020 17:37:22
http://10.37.248.147/drba/202011/20201122/DMB_08_/016DMB_08_W2020112217372200SV_02.jpg
 08 - DMB
OPEN
$35.00
$25.00
$0.00
$60.00","
 HV44477 - Image
11/22/2020 13:45:23
http://10.37.248.147/drba/202011/20201122/DMB_05_/016DMB_05_W2020112213452300SV_02.jpg
 05 - DMB
OPEN
$35.00
$25.00
$0.00
$60.00","
 HV44663 - Image
11/22/2020 00:31:06
http://10.37.248.147/drba/202011/20201122/DMB_03_/016DMB_03_W2020112200310600SV_02.jpg
 03 - DMB
OPEN
$35.00
$25.00
$0.00
$60.00"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV37945 - Image
11/22/2020 12:37:54
http://10.37.248.147/drjt/202011/20201122/ODW_21W/020ODW_21WN2020112212375435SV_02.jpg
 21W - ODW
OPEN
$20.00
$30.00
$0.00
$50.00","
 HV45231 - Image
11/22/2020 06:48:06
http://10.37.248.147/drjt/202011/20201122/O78_11W/020O78_11WN2020112206480659SV_02.jpg
 11W - O78
OPEN
$20.00
$30.00
$0.00
$50.00"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV40254 - Image
11/22/2020 08:13:05
http://10.37.248.147/drba/202011/20201122/DMB_10_/016DMB_10_W2020112208130500SV_02.jpg
 10 - DMB
OPEN
$35.00
$25.00
$0.00
$60.00"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV39454 - Image
11/21/2020 22:32:29
http://10.37.248.147/drba/202011/20201121/DMB_11_/016DMB_11_W2020112122322900SV_02.jpg
 11 - DMB
OPEN
$35.00
$25.00
$0.00
$60.00","
 HV44381 - Image
11/21/2020 16:44:01
http://10.37.248.147/drba/202011/20201121/DMB_05_/016DMB_05_W2020112116440100SV_02.jpg
 05 - DMB
OPEN
$35.00
$25.00
$0.00
$60.00","
 HV44433 - Image
11/21/2020 11:25:28
http://10.37.248.147/drba/202011/20201121/DMB_12_/016DMB_12_W2020112111252800SV_02.jpg
 12 - DMB
OPEN
$35.00
$25.00
$0.00
$60.00"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV36981 - Image
11/21/2020 21:26:12
http://10.37.248.147/drba/202011/20201121/DMB_10_/016DMB_10_W2020112121261200SV_02.jpg
 10 - DMB
OPEN
$35.00
$25.00
$0.00
$60.00"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV39677 - Image
11/21/2020 20:58:21
http://10.37.248.147/drjt/202011/20201121/TM__05W/020TM__05WN2020112120582167SV_02.jpg
 05W - T-M
OPEN
$20.00
$30.00
$0.00
$50.00","
 HV37747 - Image
11/21/2020 11:58:36
http://10.37.248.147/drjt/202011/20201121/O78_11W/020O78_11WN2020112111583604SV_02.jpg
 11W - O78
OPEN
$20.00
$30.00
$0.00
$50.00"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV39954 - Image
11/21/2020 16:16:30
http://10.37.248.147/drba/202011/20201121/DMB_03_/016DMB_03_W2020112116163000SV_02.jpg
 03 - DMB
OPEN
$35.00
$25.00
$0.00
$60.00","
 HV43420 - Image
11/21/2020 00:40:35
http://10.37.248.147/drba/202011/20201121/DMB_11_/016DMB_11_W2020112100403500SV_02.jpg
 11 - DMB
OPEN
$35.00
$25.00
$0.00
$60.00"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV43867 - Image
11/21/2020 04:56:42
http://10.37.248.147/drjt/202011/20201121/PC__03W/020PC__03WN2020112104564275SV_02.jpg
 03W - P-C
OPEN
$20.00
$30.00
$0.00
$50.00"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV45883 - Image
11/21/2020 04:12:41
http://10.37.248.147/drjt/202011/20201121/O78_11W/020O78_11WN2020112104124151SV_02.jpg
 11W - O78
OPEN
$20.00
$30.00
$0.00
$50.00"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV20821 - Image
11/20/2020 23:29:01
http://10.37.248.147/drba/202011/20201120/DMB_11_/016DMB_11_W2020112023290100SV_02.jpg
 11 - DMB
OPEN
$35.00
$25.00
$0.00
$60.00"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV37471 - Image
11/20/2020 22:20:38
http://10.37.248.147/drba/202011/20201120/DMB_11_/016DMB_11_W2020112022203800SV_02.jpg
 11 - DMB
OPEN
$35.00
$25.00
$0.00
$60.00"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV39545 - Image
11/20/2020 22:11:53
http://10.37.248.147/dr/202011/20201120/1___11W/0071___11WW2020112022115300SV_02.jpg
 11W - BRB
OPEN
$37.50
$25.00
$0.00
$62.50"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV40314 - Image
11/20/2020 19:46:57
http://10.37.248.147/drba/202011/20201120/DMB_04_/016DMB_04_W2020112019465700SV_02.jpg
 04 - DMB
OPEN
$35.00
$25.00
$0.00
$60.00","
 HV44197 - Image
11/20/2020 11:51:19
http://10.37.248.147/drba/202011/20201120/DMB_10_/016DMB_10_W2020112011511900SV_02.jpg
 10 - DMB
OPEN
$35.00
$25.00
$0.00
$60.00"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV43908 - Image
11/20/2020 16:34:49
http://10.37.248.147/drjt/202011/20201120/O78_12W/020O78_12WN2020112016344993SV_02.jpg
 12W - O78
OPEN
$20.00
$30.00
$0.00
$50.00"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV20532 - Image
11/20/2020 06:56:40
http://10.37.248.147/drjt/202011/20201120/ODW_21W/020ODW_21WN2020112006564079SV_02.jpg
 21W - ODW
OPEN
$20.00
$30.00
$0.00
$50.00","
 HV43302 - Image
11/20/2020 01:29:16
http://10.37.248.147/drjt/202011/20201120/ODW_21W/020ODW_21WN2020112001291685SV_02.jpg
 21W - ODW
OPEN
$20.00
$30.00
$0.00
$50.00"
