POSTED DATE,TRANSACTION DATE,TRANSACTION TIME,TRANSACTION NUMBER,TRANSPONDER/LICENSE PLATE,AGENCY NAME,LANE,AXLE,DESCRPTION / PLAZA NAME,AMOUNT
11/12/2020,11/11/2020,06:52:14 AM,32339017820,2852172-IN,Miami-Dade Expressway Authority,63S,2,SR 874 SOUTH (AT SR826),($0.47)
11/12/2020,09/02/2020,10:34:32 PM,32339023519,2882987-IN,Florida Turnpike Enterprise,50S,5,SR23 NEW WORLD MAIN NB MP43,($0.80)
11/12/2020,09/03/2020,02:38:40 PM,32338992072,2841983-IN,Florida Turnpike Enterprise,60S,5,SR589 HILLSBOROUG AVE SBON MP4,($1.04)
11/12/2020,11/05/2020,02:56:54 PM,32338886946,2852187-IN,Miami-Dade Expressway Authority,42S,3,SR 924 EAST (42ND AVE),($0.94)
11/12/2020,11/05/2020,02:34:33 PM,32338886945,2852187-IN,Miami-Dade Expressway Authority,42S,3,SR 874 NORTH (AT SR826),($0.94)
11/12/2020,11/05/2020,02:55:10 PM,32338886937,2852187-IN,Miami-Dade Expressway Authority,22S,2,SR 924 EAST (57TH AVE),($0.47)
11/12/2020,10/04/2020,01:40:52 PM,32338777579,2882987-IN,Florida Turnpike Enterprise,60S,3,SR23 NORMANDY MAIN SB MP42,($0.40)
11/12/2020,10/04/2020,01:39:29 PM,32338779241,2882987-IN,Florida Turnpike Enterprise,60S,3,SR23 NEW WORLD MAIN SB MP43,($0.40)
11/12/2020,11/08/2020,03:09:37 PM,32338703314,2852184-IN,Miami-Dade Expressway Authority,21S,3,SR 874 NORTH (KILLIAN),($0.46)
11/12/2020,11/05/2020,02:26:53 PM,32338680532,2852183-IN,Miami-Dade Expressway Authority,43S,3,SR 924 EAST (42ND AVE),($0.94)
11/12/2020,11/05/2020,02:25:13 PM,32338680409,2852184-IN,Miami-Dade Expressway Authority,23S,3,SR 924 EAST (57TH AVE),($0.94)
11/12/2020,11/05/2020,02:25:21 PM,32338670182,2852183-IN,Miami-Dade Expressway Authority,23S,3,SR 924 EAST (57TH AVE),($0.94)
11/12/2020,11/05/2020,02:29:47 PM,32338668308,2852187-IN,Miami-Dade Expressway Authority,12S,3,SR 874 NORTH (AT TURNPIKE),($0.46)
11/12/2020,11/05/2020,02:31:15 PM,32338668292,2852187-IN,Miami-Dade Expressway Authority,22S,3,SR 874 NORTH (KILLIAN),($0.46)
11/12/2020,11/05/2020,02:08:23 PM,32338662533,2852184-IN,Miami-Dade Expressway Authority,41S,3,SR 874 NORTH (AT SR826),($0.94)
11/12/2020,11/05/2020,02:04:40 PM,32338662509,2852183-IN,Miami-Dade Expressway Authority,21S,3,SR 874 NORTH (KILLIAN),($0.46)
11/12/2020,11/05/2020,02:05:14 PM,32338655656,2852184-IN,Miami-Dade Expressway Authority,21S,3,SR 874 NORTH (KILLIAN),($0.46)
11/12/2020,11/05/2020,02:03:46 PM,32338655639,2852184-IN,Miami-Dade Expressway Authority,11S,2,SR 874 NORTH (AT TURNPIKE),($0.23)
11/12/2020,11/05/2020,02:03:15 PM,32338655625,2852183-IN,Miami-Dade Expressway Authority,11S,2,SR 874 NORTH (AT TURNPIKE),($0.23)
11/12/2020,11/05/2020,02:08:02 PM,32338658931,2852183-IN,Miami-Dade Expressway Authority,41S,3,SR 874 NORTH (AT SR826),($0.94)
11/12/2020,11/12/2020,12:42:31 PM,32338600729,2841971-IN,Florida Turnpike Enterprise,9D,3,SR570 CENTRAL MAINLINE MP13,($2.14)
11/12/2020,11/12/2020,12:51:18 PM,32338587845,2841971-IN,Florida Turnpike Enterprise,2D,3,SR570 EASTERN MAINLINE MP21,($2.14)
11/12/2020,11/12/2020,12:37:54 PM,32338585818,2841971-IN,Florida Turnpike Enterprise,12D,3,SR570 WESTERN MAINLINE MP8,($2.14)
11/12/2020,08/31/2020,08:59:15 AM,32338548909,2882843-IN,Florida Turnpike Enterprise,7Z,3,SR91 THREE LAKES MAIN MP236,($6.72)
