"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV39370 - Image
11/08/2020 21:06:26
http://10.37.248.147/drba/202011/20201108/DMB_11_/016DMB_11_W2020110821062600SV_02.jpg
 11 - DMB
OPEN
$35.00
$25.00
$0.00
$60.00","
 HV40472 - Image
11/08/2020 12:53:37
http://10.37.248.147/drba/202011/20201108/DMB_09_/016DMB_09_W2020110812533700SV_02.jpg
 09 - DMB
OPEN
$35.00
$25.00
$0.00
$60.00"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV39688 - Image
11/08/2020 17:28:59

 06s - PVK
OPEN
$9.55
$50.00
$0.00
$59.55"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV19929 - Image
11/08/2020 14:42:24
http://10.37.248.147/dr/202011/20201108/3___06W/0073___06WW2020110814422400SV_02.jpg
 06W - WWB
OPEN
$37.50
$25.00
$0.00
$62.50"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV38327 - Image
11/07/2020 23:41:09
http://10.37.248.147/njta/202011/20201107/002_05w/013002_05wW2020110723410920SV_02.jpg
 05w - 2  
OPEN
$5.15
$50.00
$0.00
$55.15","
 HV14847 - Image
11/07/2020 23:22:59
http://10.37.248.147/njta/202011/20201107/001_15w/013001_15wW2020110723225912SV_02.jpg
 15w - 1  
OPEN
$48.35
$50.00
$0.00
$98.35","
 HV20170 - Image
11/07/2020 23:07:13
http://10.37.248.147/njta/202011/20201107/012_11w/013012_11wW2020110723071333SV_02.jpg
 11w - 12 
OPEN
$11.40
$50.00
$0.00
$61.40","
 HV38656 - Image
11/07/2020 23:06:50
http://10.37.248.147/njta/202011/20201107/001_15w/013001_15wW2020110723065086SV_02.jpg
 15w - 1  
OPEN
$48.35
$50.00
$0.00
$98.35"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
